# Chunk-averaged data for fix velo and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
101000 20 5324.000000000001
  3 0.125 272.02 -0.079686
  4 0.175 267.34 -0.0817989
  5 0.225 264.08 -0.0136684
  6 0.275 262.8 0.0228657
  7 0.325 267.62 0.0496314
  8 0.375 267.8 0.0189244
  9 0.425 261.92 0.0740293
  10 0.475 267.92 0.0529583
  11 0.525 265.3 0.0450024
  12 0.575 266.06 0.0222065
  13 0.625 267.06 0.0357394
  14 0.675 266.64 0.0769177
  15 0.725 261.96 0.0435835
  16 0.775 256.06 -0.0170134
  17 0.825 262.46 0.00788309
  18 0.875 268.44 0.0237756
  19 0.925 268.94 -0.000613949
  20 0.975 272 -0.0369123
124000 20 5324
  1 0.025 273.22 -0.0652683
  2 0.075 273.72 -0.0625368
  3 0.125 268.36 -0.0284087
  4 0.175 256.58 -0.0275433
  5 0.225 256.02 -0.0330933
  6 0.275 264.06 -0.0450063
  7 0.325 266.16 0.00575838
  8 0.375 269.88 0.0593346
  9 0.425 269.74 0.0972212
  10 0.475 266.9 0.0905192
  11 0.525 270.58 0.075561
  12 0.575 266.56 0.0611897
  13 0.625 267.02 0.0463273
  14 0.675 266.1 0.0526061
  15 0.725 258.12 0.0359648
  16 0.775 261.88 -0.00799803
  17 0.825 264.08 -0.00114287
  18 0.875 266.64 -0.0279869
  19 0.925 267.92 -0.0707679
  20 0.975 270.46 -0.0433795
125000 20 5324
  1 0.025 269.02 -0.0453167
  2 0.075 272.04 -0.0709335
  3 0.125 266.58 -0.0354785
  4 0.175 263.94 0.00920965
  5 0.225 259.4 0.0552503
  6 0.275 267.56 0.0348626
  7 0.325 270.24 0.0164927
  8 0.375 270.48 0.0508636
  9 0.425 270.58 0.058192
  10 0.475 261.2 0.0885801
  11 0.525 262.3 0.067571
  12 0.575 267.44 0.0262727
  13 0.625 261.46 5.63197e-05
  14 0.675 259.94 0.0162432
  15 0.725 265.24 0.00502393
  16 0.775 265.44 0.00628344
  17 0.825 266.26 -0.036356
  18 0.875 266.44 -0.0480697
  19 0.925 267.14 -0.0512307
  20 0.975 271.3 -0.0304734
126000 20 5324
  1 0.025 271.34 -0.0914569
  2 0.075 269.92 -0.0616907
  3 0.125 265.1 -0.0391754
  4 0.175 266.86 0.00485775
  5 0.225 263.46 -0.0155834
  6 0.275 263.42 0.02416
  7 0.325 268.84 0.037657
  8 0.375 263.94 0.0116201
  9 0.425 268.54 0.0229176
  10 0.475 273.84 0.0540859
  11 0.525 263.92 0.0346306
  12 0.575 268.8 0.0639233
  13 0.625 265.42 0.0577454
  14 0.675 265.84 0.0616088
  15 0.725 262.86 0.0740521
  16 0.775 262.34 0.0536396
  17 0.825 264.98 0.0099923
  18 0.875 265.52 0.00179805
  19 0.925 264.04 -0.0820031
  20 0.975 265.02 -0.109828
127000 20 5323.999999999999
  1 0.025 266.2 -0.0143097
  2 0.075 259.3 0.00998932
  3 0.125 261.78 -0.0148649
  4 0.175 263.22 -0.0314726
  5 0.225 265.68 -0.0242308
  6 0.275 263.64 0.00215937
  7 0.325 268.28 0.0290952
  8 0.375 271.18 0.0303558
  9 0.425 272.5 0.0319214
  10 0.475 272.38 0.0232599
  11 0.525 267.76 0.069133
  12 0.575 269.96 0.0462926
  13 0.625 268.52 0.069191
  14 0.675 270 0.0517063
  15 0.725 262.1 0.0318925
  16 0.775 267.74 -0.0130843
  17 0.825 265.36 -0.0273565
  18 0.875 260.74 -0.0585279
  19 0.925 263.12 -0.066432
  20 0.975 264.54 -0.039406
128000 20 5324
  1 0.025 265.52 -0.0596984
  2 0.075 265.38 -0.022394
  3 0.125 261.16 0.00620307
  4 0.175 258.46 -0.00131958
  5 0.225 257.42 0.000629693
  6 0.275 261.84 0.0342826
  7 0.325 271.62 0.0246257
  8 0.375 268.58 0.0291154
  9 0.425 266.36 0.0498976
  10 0.475 268.58 0.0726162
  11 0.525 273.16 0.0607373
  12 0.575 267.66 0.0753382
  13 0.625 272.98 0.0474305
  14 0.675 267.7 -0.0208545
  15 0.725 265.6 -0.00598278
  16 0.775 261.44 0.0231403
  17 0.825 266.18 -0.0224522
  18 0.875 268.1 -0.0627345
  19 0.925 269.42 -0.0653717
  20 0.975 266.84 -0.0536319
129000 20 5324
  1 0.025 263.22 -0.0298283
