LAMMPS data file. Generated 2026-01-09 08:54:52.954177
6740 atoms
70 bonds
60 angles
50 dihedrals
0 impropers
4 atom types
1 bond types

0.0 14.769394404940591 xlo xhi
0.0 14.769497835581483 ylo yhi
0.0 43.711310009943 zlo zhi

Masses

1 1.0 
2 1.0 
3 1.0 
4 1.0 

Atoms # molecular

195 195 1  14.031541 9.600528 19.201056
196 196 1  0.000000 10.339030 19.201056
197 197 1  0.000000 11.077532 19.939558
198 198 1  0.738502 10.339030 19.939558
199 199 1  0.738502 11.077532 19.201056
200 200 1  1.477004 10.339030 19.201056
201 201 1  1.477004 11.077532 19.939558
202 202 1  2.215506 10.339030 19.939558
203 203 1  2.215506 11.077532 19.201056
204 204 1  2.954009 10.339030 19.201056
205 205 1  2.954009 11.077532 19.939558
206 206 1  3.692511 10.339030 19.939558
207 207 1  3.692511 11.077532 19.201056
208 208 1  4.431013 10.339030 19.201056
209 209 1  4.431013 11.077532 19.939558
210 210 1  5.169515 11.077532 19.201056
211 211 1  9.600528 11.077532 19.201056
212 212 1  10.339030 10.339030 19.201056
213 213 1  10.339030 11.077532 19.939558
214 214 1  11.077532 10.339030 19.939558
215 215 1  11.077532 11.077532 19.201056
216 216 1  11.816034 10.339030 19.201056
217 217 1  11.816034 11.077532 19.939558
218 218 1  12.554536 10.339030 19.939558
219 219 1  12.554536 11.077532 19.201056
220 220 1  13.293038 10.339030 19.201056
221 221 1  13.293038 11.077532 19.939558
222 222 1  14.031541 10.339030 19.939558
223 223 1  14.031541 11.077532 19.201056
224 224 1  0.000000 11.816034 19.201056
225 225 1  0.000000 12.554536 19.939558
226 226 1  0.738502 11.816034 19.939558
227 227 1  0.738502 12.554536 19.201056
228 228 1  1.477004 11.816034 19.201056
229 229 1  1.477004 12.554536 19.939558
230 230 1  2.215506 11.816034 19.939558
231 231 1  2.215506 12.554536 19.201056
232 232 1  2.954009 11.816034 19.201056
233 233 1  2.954009 12.554536 19.939558
234 234 1  3.692511 11.816034 19.939558
235 235 1  3.692511 12.554536 19.201056
236 236 1  4.431013 11.816034 19.201056
237 237 1  4.431013 12.554536 19.939558
238 238 1  5.169515 11.816034 19.939558
239 239 1  5.169515 12.554536 19.201056
240 240 1  5.908017 11.816034 19.201056
241 241 1  5.908017 12.554536 19.939558
242 242 1  6.646519 11.816034 19.939558
243 243 1  6.646519 12.554536 19.201056
244 244 1  7.385021 11.816034 19.201056
245 245 1  7.385021 12.554536 19.939558
246 246 1  8.123524 11.816034 19.939558
247 247 1  8.123524 12.554536 19.201056
248 248 1  8.862026 11.816034 19.201056
249 249 1  8.862026 12.554536 19.939558
250 250 1  9.600528 11.816034 19.939558
251 251 1  9.600528 12.554536 19.201056
252 252 1  10.339030 11.816034 19.201056
253 253 1  10.339030 12.554536 19.939558
254 254 1  11.077532 11.816034 19.939558
255 255 1  11.077532 12.554536 19.201056
256 256 1  11.816034 11.816034 19.201056
257 257 1  11.816034 12.554536 19.939558
258 258 1  12.554536 11.816034 19.939558
259 259 1  12.554536 12.554536 19.201056
260 260 1  13.293038 11.816034 19.201056
261 261 1  13.293038 12.554536 19.939558
262 262 1  14.031541 11.816034 19.939558
263 263 1  14.031541 12.554536 19.201056
264 264 1  0.000000 13.293038 19.201056
265 265 1  0.000000 14.031541 19.939558
266 266 1  0.738502 13.293038 19.939558
267 267 1  0.738502 14.031541 19.201056
268 268 1  1.477004 13.293038 19.201056
269 269 1  1.477004 14.031541 19.939558
270 270 1  2.215506 13.293038 19.939558
271 271 1  2.215506 14.031541 19.201056
272 272 1  2.954009 13.293038 19.201056
273 273 1  2.954009 14.031541 19.939558
274 274 1  3.692511 13.293038 19.939558
275 275 1  3.692511 14.031541 19.201056
276 276 1  4.431013 13.293038 19.201056
277 277 1  4.431013 14.031541 19.939558
278 278 1  5.169515 13.293038 19.939558
279 279 1  5.169515 14.031541 19.201056
280 280 1  5.908017 13.293038 19.201056
281 281 1  5.908017 14.031541 19.939558
282 282 1  6.646519 13.293038 19.939558
283 283 1  6.646519 14.031541 19.201056
284 284 1  7.385021 13.293038 19.201056
285 285 1  7.385021 14.031541 19.939558
286 286 1  8.123524 13.293038 19.939558
287 287 1  8.123524 14.031541 19.201056
288 288 1  8.862026 13.293038 19.201056
289 289 1  8.862026 14.031541 19.939558
290 290 1  9.600528 13.293038 19.939558
291 291 1  9.600528 14.031541 19.201056
292 292 1  10.339030 13.293038 19.201056
293 293 1  10.339030 14.031541 19.939558
294 294 1  11.077532 13.293038 19.939558
295 295 1  11.077532 14.031541 19.201056
296 296 1  11.816034 13.293038 19.201056
297 297 1  11.816034 14.031541 19.939558
298 298 1  12.554536 13.293038 19.939558
299 299 1  12.554536 14.031541 19.201056
300 300 1  13.293038 13.293038 19.201056
301 301 1  13.293038 14.031541 19.939558
302 302 1  14.031541 13.293038 19.939558
303 303 1  14.031541 14.031541 19.201056
304 304 1  0.000000 0.000000 20.678060
305 305 1  0.000000 0.738502 21.416562
306 306 1  0.738502 0.000000 21.416562
307 307 1  0.738502 0.738502 20.678060
308 308 1  1.477004 0.000000 20.678060
309 309 1  1.477004 0.738502 21.416562
310 310 1  2.215506 0.000000 21.416562
311 311 1  2.215506 0.738502 20.678060
312 312 1  2.954009 0.000000 20.678060
313 313 1  2.954009 0.738502 21.416562
314 314 1  3.692511 0.000000 21.416562
315 315 1  3.692511 0.738502 20.678060
316 316 1  4.431013 0.000000 20.678060
317 317 1  4.431013 0.738502 21.416562
318 318 1  5.169515 0.000000 21.416562
319 319 1  5.169515 0.738502 20.678060
320 320 1  5.908017 0.000000 20.678060
321 321 1  5.908017 0.738502 21.416562
322 322 1  6.646519 0.000000 21.416562
323 323 1  6.646519 0.738502 20.678060
324 324 1  7.385021 0.000000 20.678060
325 325 1  7.385021 0.738502 21.416562
326 326 1  8.123524 0.000000 21.416562
327 327 1  8.123524 0.738502 20.678060
328 328 1  8.862026 0.000000 20.678060
329 329 1  8.862026 0.738502 21.416562
330 330 1  9.600528 0.000000 21.416562
331 331 1  9.600528 0.738502 20.678060
332 332 1  10.339030 0.000000 20.678060
333 333 1  10.339030 0.738502 21.416562
334 334 1  11.077532 0.000000 21.416562
335 335 1  11.077532 0.738502 20.678060
336 336 1  11.816034 0.000000 20.678060
337 337 1  11.816034 0.738502 21.416562
338 338 1  12.554536 0.000000 21.416562
339 339 1  12.554536 0.738502 20.678060
340 340 1  13.293038 0.000000 20.678060
341 341 1  13.293038 0.738502 21.416562
342 342 1  14.031541 0.000000 21.416562
343 343 1  14.031541 0.738502 20.678060
344 344 1  0.000000 1.477004 20.678060
345 345 1  0.000000 2.215506 21.416562
346 346 1  0.738502 1.477004 21.416562
347 347 1  0.738502 2.215506 20.678060
348 348 1  1.477004 1.477004 20.678060
349 349 1  1.477004 2.215506 21.416562
350 350 1  2.215506 1.477004 21.416562
351 351 1  2.215506 2.215506 20.678060
352 352 1  2.954009 1.477004 20.678060
353 353 1  2.954009 2.215506 21.416562
354 354 1  3.692511 1.477004 21.416562
355 355 1  3.692511 2.215506 20.678060
356 356 1  4.431013 1.477004 20.678060
357 357 1  4.431013 2.215506 21.416562
358 358 1  5.169515 1.477004 21.416562
359 359 1  5.169515 2.215506 20.678060
360 360 1  5.908017 1.477004 20.678060
361 361 1  5.908017 2.215506 21.416562
362 362 1  6.646519 1.477004 21.416562
363 363 1  6.646519 2.215506 20.678060
364 364 1  7.385021 1.477004 20.678060
365 365 1  7.385021 2.215506 21.416562
366 366 1  8.123524 1.477004 21.416562
367 367 1  8.123524 2.215506 20.678060
368 368 1  8.862026 1.477004 20.678060
369 369 1  8.862026 2.215506 21.416562
