# Time-averaged data for fix kinetic_output
# TimeStep c_kinetic_core
79900 770.102
80000 766.216
80100 764.015
80200 760.597
80300 773.437
80400 737.694
80500 755.462
80600 767.605
80700 721.66
80800 763.204
80900 755.313
81000 749.75
81100 756.86
81200 753.965
81300 775.774
81400 730.102
81500 719.649
81600 777.443
81700 766.556
81800 768.095
81900 804.674
82000 755.452
82100 750.179
82200 746.425
82300 771.859
82400 763.532
82500 725.141
82600 755.512
82700 741.778
82800 774.126
82900 760.043
83000 785.772
83100 765.053
83200 762.361
83300 741.878
83400 738.526
83500 748.546
83600 757.702
83700 743.74
83800 769.39
83900 768.674
84000 756.763
84100 737.929
84200 742.079
84300 742.424
84400 800.506
84500 778.067
84600 796.732
84700 763.689
84800 722.446
84900 763.879
85000 757.577
85100 755.011
85200 771.88
85300 763.633
85400 777.531
85500 753.948
85600 781.667
85700 760.412
85800 768.048
85900 777.896
86000 795.834
86100 749.691
86200 779.126
86300 726.265
86400 772.988
86500 787.887
86600 753.144
86700 740.627
86800 767.931
86900 719.624
87000 755.657
87100 761.817
87200 757.42
87300 725.701
87400 752.473
87500 766.265
87600 764.682
87700 748.038
87800 729.784
87900 780.544
88000 775.682
88100 775.915
88200 771.694
88300 759.657
88400 768.776
88500 759.926
88600 758.294
88700 745.74
88800 777.934
88900 768.003
89000 745.265
89100 764.21
89200 784.764
89300 788.491
89400 772.956
89500 770.336
89600 747.194
89700 755.316
89800 749.998
89900 765.66
90000 721.981
90100 775.032
90200 769.765
90300 740.025
90400 767.318
90500 749.192
90600 736.695
90700 753.548
90800 786.753
90900 763.213
91000 739.986
91100 750.476
91200 738.769
91300 738.528
91400 761.165
91500 737.829
91600 764.403
91700 735.525
91800 790.203
91900 776.391
92000 737.81
92100 744.994
92200 757.964
92300 778.37
92400 742.23
92500 765.027
92600 730.104
92700 771.318
92800 770.108
92900 776.242
93000 767.011
93100 756.79
93200 767.735
93300 761.287
93400 733.81
93500 744.805
93600 769.626
93700 735.616
93800 777.529
93900 756.716
94000 751.915
94100 757.344
94200 765.81
94300 771.984
94400 772.215
94500 733.692
94600 761.265
94700 748.655
94800 755.372
94900 745.156
95000 748.728
95100 744.049
95200 778.912
95300 764.563
95400 801.816
95500 772.218
95600 761.295
95700 717.405
95800 769.07
95900 712.544
96000 744.987
96100 761.999
96200 777.081
96300 727.311
96400 744.914
96500 757.05
96600 758.358
96700 743.151
96800 747.746
96900 738.983
97000 745.078
97100 765.106
97200 750.628
97300 749.536
97400 744.636
97500 762.009
97600 744.933
97700 744.978
97800 787.364
97900 747.579
98000 771.285
98100 763.389
98200 747.492
98300 749.609
98400 746.238
98500 775.809
98600 769.578
98700 717.456
98800 754.741
98900 750.818
99000 778.288
99100 756.959
99200 754.977
99300 752.23
99400 766.878
99500 760.082
99600 777.542
99700 757.726
99800 740.385
99900 741.723
100000 768.408
100100 773.55
100200 751.452
100300 729.885
100400 733.114
100500 768.707
100600 777.566
100700 741.48
100800 750.293
100900 754.722
101000 749.391
101100 754.663
101200 786.547
101300 786.746
101400 770.926
101500 779.935
101600 733.386
101700 743.242
101800 769.779
101900 777.727
102000 745.589
102100 749.216
102200 788.878
102300 736.173
102400 733.827
102500 768.33
102600 759.219
102700 743.552
102800 760.723
102900 777.023
103000 731.7
103100 736.659
103200 783.253
103300 738.94
103400 768.984
103500 763.303
103600 750.878
103700 732.8
103800 766.437
103900 767.405
104000 758.55
104100 767.855
104200 766.534
104300 770.07
104400 737.238
104500 739.831
104600 772.987
104700 765.653
104800 722.39
104900 742.093
105000 778.485
105100 790.035
105200 768.678
105300 731.303
105400 758.095
105500 782.447
105600 736.968
105700 757.164
105800 776.019
105900 769.62
106000 783.977
106100 764.851
106200 731.308
106300 778.296
106400 732.925
106500 727.262
106600 780.526
106700 748.695
106800 767.275
106900 768.004
107000 756.898
107100 769.201
107200 761.337
107300 717.329
107400 747.713
107500 760.541
107600 756.259
107700 771.97
107800 782.048
107900 757.284
108000 767.498
108100 779.26
108200 772.047
108300 769.684
108400 750.564
108500 748.495
108600 772.116
108700 753.441
108800 761.863
108900 741.792
109000 742.138
109100 715.427
109200 756.849
109300 767.591
109400 752.599
109500 759.304
109600 751.745
109700 790.796
109800 734.673
109900 767.163
110000 779.646
110100 771.745
110200 773.389
110300 784.74
110400 768.681
110500 774.486
110600 780.4
110700 753.44
110800 767.599
110900 767.089
111000 771.153
111100 772.105
111200 756.42
111300 793.507
111400 751.883
111500 773.648
111600 752.98
111700 753.481
111800 739.646
111900 739.019
112000 779.662
112100 798.561
112200 752.351
112300 767.568
112400 768.105
112500 755.974
112600 764.355
112700 765.434
112800 756.15
112900 769.793
113000 759.758
113100 748.257
113200 786.566
113300 761.722
113400 749.08
113500 765.162
113600 758.971
113700 743.741
113800 742.704
113900 776.724
114000 736.286
114100 727.492
114200 743.406
114300 768.679
114400 750.169
114500 747.687
114600 748.684
114700 735.446
114800 798.34
114900 766.805
115000 760.214
115100 758.766
115200 741.469
115300 783.142
115400 757.831
115500 748.466
115600 757.956
115700 755.431
115800 736.207
115900 725.525
116000 730.99
116100 773.602
116200 732.616
116300 750.622
116400 719.739
116500 747.949
116600 761.233
116700 749.899
116800 740.209
116900 765.519
117000 786.873
117100 769.909
117200 743.931
117300 727.301
117400 763.602
117500 772.026
117600 750.106
117700 771.991
117800 757.103
117900 792.825
118000 724.726
118100 758.609
118200 755.122
118300 778.32
118400 752.141
118500 766.317
118600 764.794
118700 744.769
118800 768.049
118900 738.187
119000 745.487
119100 770.578
119200 754.952
119300 774.804
119400 766.052
119500 755.67
119600 777.314
119700 758.908
119800 745.327
119900 778.341
120000 784.361
120100 767.423
120200 755.365
120300 739.778
120400 739.475
120500 746.661
120600 778.489
120700 778.338
120800 770.903
120900 766.845
121000 728.947
121100 737.796
121200 762.747
121300 694.643
121400 748.889
121500 765.721
121600 779.864
121700 756.939
121800 782.285
121900 781.427
122000 739.821
122100 733.7
122200 792.722
122300 753.097
122400 762.386
122500 746.299
122600 767.635
122700 746.676
122800 750.162
122900 738.059
123000 795.546
123100 751.415
123200 776.363
123300 741.886
123400 777.888
123500 744.362
123600 771.515
123700 785.593
123800 791.681
123900 755.702
124000 748.456
124100 762.917
124200 741.916
124300 796.028
124400 778.398
124500 762.376
124600 752.681
124700 733.549
124800 750.412
124900 758.677
125000 732.739
125100 772.573
125200 758.438
125300 769.578
125400 728.667
125500 794.683
125600 780.152
125700 761.166
125800 763.239
125900 781.55
126000 766.707
126100 756.246
126200 771.409
126300 783.51
126400 763.288
126500 765.793
126600 750.256
126700 743.208
126800 772.066
126900 751.467
127000 788.138
127100 744.373
127200 758.368
127300 749.811
127400 775.39
127500 801.613
127600 816.541
127700 732.531
127800 776.153
127900 775.557
128000 763.066
128100 790.998
128200 791.699
128300 762.426
128400 778.864
128500 771.87
128600 760.55
128700 777.054
128800 748.913
128900 789.364
129000 759.505
129100 741.145
129200 760.606
129300 771.567
129400 776.266
129500 781.507
129600 780.884
129700 775.17
129800 751.309
129900 768.692
130000 766.796
130100 761.648
130200 749.187
130300 765.833
130400 752.596
130500 817.269
130600 740.949
130700 762.858
130800 765.849
130900 775.535
131000 750.636
131100 802.925
131200 715.723
131300 726.297
131400 772.474
131500 785.162
131600 763.069
131700 760.158
131800 737.96
131900 728.203
132000 780.594
132100 746.879
132200 783.664
132300 789.255
132400 767.27
132500 745.29
