LAMMPS data file. CGCMM style. atom_style molecular generated by Python script on Sun Dec 07 22:59:33 2025
286 atoms
1 atom types
-60.0 60.0 xlo xhi
-40.0 40.0 ylo yhi
-40.0 40.0 zlo zhi

Masses

1 12.0107

Atoms # atomic

198 1  2.905368 -3.662653 5.681007
199 1  3.754014 -2.777506 4.971007
200 1  4.344883 -1.702450 5.681007
201 1  4.637259 -0.511567 4.971007
202 1  4.611438 0.714894 5.681007
203 1  4.269201 1.892416 4.971007
204 1  3.633610 2.941652 5.681007
205 1  2.748463 3.790298 4.971007
206 1  1.673407 4.381167 5.681007
207 1  0.482524 4.673543 4.971007
208 1  -0.743936 4.647722 5.681007
209 1  -1.921459 4.305485 4.971007
210 1  -2.970695 3.669894 5.681007
211 1  -3.819341 2.784747 4.971007
212 1  -4.410210 1.709691 5.681007
213 1  -4.702585 0.518808 3.551007
214 1  -4.702585 0.518808 4.971007
215 1  -4.334430 -1.885398 7.811430
216 1  -4.676728 -0.707894 7.101430
217 1  -4.676728 -0.707894 5.681430
218 1  -3.699089 -2.934220 7.101430
219 1  -2.813593 -3.783201 7.811430
220 1  -1.738961 -4.373837 7.101430
221 1  -0.547608 -4.666328 7.811430
222 1  0.678369 -4.640518 7.101430
223 1  1.856356 -4.298146 7.811430
224 1  2.905178 -3.662805 7.101430
225 1  3.754158 -2.777309 7.811430
226 1  4.344795 -1.702677 7.101430
227 1  4.637285 -0.511324 7.811430
228 1  4.611475 0.714653 7.101430
229 1  4.269103 1.892640 7.811430
230 1  3.633763 2.941462 7.101430
231 1  2.748266 3.790442 7.811430
232 1  1.673634 4.381079 7.101430
233 1  0.482282 4.673569 7.811430
234 1  -0.743695 4.647759 7.101430
235 1  -1.921682 4.305387 7.811430
236 1  -2.970504 3.670047 7.101430
237 1  -3.819485 2.784550 7.811430
238 1  -4.410121 1.709918 7.101430
239 1  -3.698937 -2.934411 9.941852
240 1  -4.334332 -1.885622 9.231852
241 1  -2.813790 -3.783057 9.231852
242 1  -1.738734 -4.373926 9.941852
243 1  -0.547851 -4.666301 9.231852
244 1  0.678610 -4.640481 9.941852
245 1  1.856132 -4.298244 9.231852
246 1  2.905368 -3.662653 9.941852
247 1  3.754014 -2.777506 9.231852
248 1  4.344883 -1.702450 9.941852
249 1  4.637259 -0.511567 9.231852
250 1  4.611438 0.714894 9.941852
251 1  4.269201 1.892416 9.231852
252 1  3.633610 2.941652 9.941852
253 1  2.748463 3.790298 9.231852
254 1  1.673407 4.381167 9.941852
255 1  0.482524 4.673543 9.231852
256 1  -0.743936 4.647722 9.941852
257 1  -1.921459 4.305485 9.231852
258 1  -2.970695 3.669894 9.941852
259 1  -3.819341 2.784747 9.231852
260 1  -4.410210 1.709691 9.941852
261 1  -4.702585 0.518808 7.811852
262 1  -4.702585 0.518808 9.231852
263 1  -4.334430 -1.885398 12.072275
264 1  -4.676728 -0.707894 11.362275
265 1  -4.676728 -0.707894 9.942275
266 1  -3.699089 -2.934220 11.362275
267 1  -2.813593 -3.783201 12.072275
268 1  -1.738961 -4.373837 11.362275
269 1  -0.547608 -4.666328 12.072275
270 1  0.678369 -4.640518 11.362275
271 1  1.856356 -4.298146 12.072275
272 1  2.905178 -3.662805 11.362275
273 1  3.754158 -2.777309 12.072275
274 1  4.344795 -1.702677 11.362275
275 1  4.637285 -0.511324 12.072275
276 1  4.611475 0.714653 11.362275
277 1  4.269103 1.892640 12.072275
278 1  3.633763 2.941462 11.362275
279 1  2.748266 3.790442 12.072275
280 1  1.673634 4.381079 11.362275
281 1  0.482282 4.673569 12.072275
282 1  -0.743695 4.647759 11.362275
283 1  -1.921682 4.305387 12.072275
284 1  -2.970504 3.670047 11.362275
285 1  -3.819485 2.784550 12.072275
286 1  -4.410121 1.709918 11.362275

